ANTH 0100T            Introductory Anthropology                         
COMM 4120U            Senior Sem: Prof Practice                         
COMM 4140U            Rhetoric                                          
COMM 4510U            Strategic Mngmt Communication                     
COMM 4710U            Globalization & Intrntl Comm.                     
CSCI 1030U            Intro to Computer Sci with C++                    
CSCI 4110U            Advanced Computer Graphics                        
EDUC 5302G            Curriculum Planning & Implem.                     
EDUC 5404G            Teach. in Adult Learning Envir                    
ENGR 3010U            Intro to Auto Engineering                         
ENGR 3160U            Engr. Oper & Project Mgmt                         
ENGR 4060U            Automotive Structural Design                      
ENGR 4290U            Finite Element Methods                            
ENGR 5005G            Spl Tpc: Wireless Sensor Nets                     
ENGR 5340G            Auto. Noise, Vibrat. & Harsh.                     
ENGR 5750G            Software Quality Management                       
ENGL 2705T            Literature and the Environment                    
HLSC 2400U            Intro to Movement NeuroScience                    
HLSC 2462U            Altered Phys:Mech of Disease I                    
HLSC 4201G            Adv Health Information Mngt                       
HLSC 4401U            Motor Behav. & Develop Disabil                    
HLSC 4414G            Advance Topics in Neuro Phys                      
HLSC 4414U            Advance Topics in Neuro Phys                      
HLSC 4802U            Public Health in Canada                           
HLSC 5030G            Studies in Kinesiology                            
HIST 2601T            Public Health and Medicine                        
INFR 1350U            Intro to Computer Graphics                        
INFR 1550U            Law and Ethics of IT                              
INFR 3120U            Web & Script Programming                          
INFR 3600U            Cryptography & Network Securit                    
INFR 4670G            Malware & Software Security                       
INFR 4670U            Malware & Software Security                       
INFR 4680G            IT Security Policies and Proc.                    
LGLS 3130U            Family Law                                        
LGLS 3240U            Cultural Studies of Law                           
LGLS 3520U            Law and Technology                                
MTSC 6120G            Theory of the Solid State                         
MLSC 4400U            Clinical Theory and Project I                     
NUCL 2220U            Structure and Prop of Materls                     
NUCL 5070G            Environmental Modelling                           
NUCL 5450G            Advanced Material Analysis                        
PHY 2900U             The Science of Astronomy                          
PSYC 3310U            Confessions and Interrogations                    
RADI 4430G            Indust. Appl. of Radi. Techn.                     
RADI 4550G            Rad. Detection & Measurement                      
SCIE 3920U            Stars, Galaxies & Beyond                          
SSCI 1300U            Social Problems                                   
SSCI 2031U            Alternative Methods in Justice                    
SSCI 4075U            Inter. Persp. on Crim. Justice                    
APBS 7400G            Spec Top in Human Health Bio                      
BIOL 2080U            Biochemistry I                                    
BUSI 2050U            Managerial Economics                              
BUSI 2930U            Leadership, Negot. & Teamwork                     
BUSI 3270U            Retail Management                                 
BUSI 3504U            Databases & Business Intellig.                    
BUSI 3540U            Object Oriented Programming                       
BUSI 4290U            Special Topics in Marketing                       
BUSI 4610U            Business Simulation Modeling                      
BUSI 5710G            Strategic Info Tech Management                    
BUSI 5800G            International Business                            
CHEM 4060U            Quantum Chem & Spectroscopy                       
CHEM 4520U            Adv Topics in Pharm. Chemistry                    
COMM 2260U            Language, Culture, & Society                      
COMM 3720U            Communicating Diversity                           
COMM 4130U            Capstone Project                                  
COMM 4610U            Mediation & Conflict Mngmt                        
COMM 4720U            Communication for Social Chnge                    
COMM 4810U            Special Topics                                    
CSCI 1040U            Intro to Comp Scie with Python                    
CSCI 3220U            Digital Media Production                          
CSCI 4160U            Interactive Media                                 
CSCI 4610U            Artificial Intelligence                           
CSCI 5020G            Collaborative Design &Research                    
CSCI 5370G            Topics in IT Security                             
CSCI 5520G            Computer Vision & Games                           
CSCI 5530G            Serious Game Development                          
EDUC 4704U            Teach&Learn: Curriculum Design                    
EDUC 5101G            Learning with Technology                          
ENGR 3170U            Eng. Production Management                        
ENGR 3290U            Powertrain Design                                 
ENGR 4520G            Nuclear Plant Safety Design                       
ENGR 4610G            Corrosion for Engineers                           
ENGR 4670G            Shielding Design                                  
ENGR 4680G            Nuclear Materials                                 
ENGR 4730G            Reactor Control                                   
ENGR 4810G            Nuclear Fuel Cycles                               
ENGR 4820U            Modelling & Simulation                            
ENGR 4880G            Principles of Fusion Energy                       
ENGR 5005G            Spl Tpc: Cmp Aid Geometric Dsn                    
ENGR 5012G            Advanced and Smart Materials                      
ENGR 5271G            Innovative Design Engineering                     
ENGR 5770G            Service Computing                                 
HLSC 2401U            Human Growth & Motor Dev.                         
HLSC 2463U            Altrd Phys: Mech of Disease II                    
HLSC 3421U            Issues in Women's Health                          
HLSC 3480U            Prncpls of Fitness & Exercise                     
HLSC 4472U            Clinical Biomechanics and Ergo                    
HLSC 4482G            Advanced Exercise Prescription                    
HLSC 4482U            Advanced Exercise Prescription                    
HLSC 4610G            System Analysis in Health Care                    
HLSC 4803U            Global Health                                     
HLSC 5314G            Enviro. Determinants of Health                    
HIST 2101T            War and Society                                   
INFR 4599U            Spec Topics in IT-Cloud Comput                    
INFR 4660G            Web Service & E-Busi. Security                    
INFR 4690G            IT Forensics                                      
LGLS 3310U            Aboriginal Issues and the Law                     
LGLS 3600U            Family Mediation                                  
LGLS 4098U            Legal Stdies Fld Wrk Practicum                    
LGLS 4099U            Legal Stdies Integrating Proj                     
LGLS 4200U            Law and Social Change                             
MTSC 6020G            Adv Topics in Material Science                    
MTSC 6100G            Grad Sem in Science Comm II                       
MTSC 6240G            Biomaterials                                      
MTSC 6530G            Carbon Based Materials                            
MLSC 3210U            Prac of Effec Lead Qual Mgmt                      
MLSC 4401U            Clinical Theory and Project II                    
NURS 3400U            Prov Supp Care to Onc Patients                    
PHY 4120U             Forensic Physics Applications                     
PSYC 2040U            Personality Psychology                            
RADI 4220G            Rad. Biophysics & Dosimetry                       
RADI 4440G            Radioisotopes & Radi. Machines                    
SCIE 1920U            Introduction to Astronomy                         
SSCI 1470U            Impact of Sci & Tech on Soc.                      
SSCI 2831U            Critical Race Theory                              
SSCI 3039U            Children, Psychology & the Law                    
SSCI 3040U            Restorative Justice                               
SSCI 4010U            Policy Development                                
SSCI 4079U            Pains of Imprisonment                             
AEDT 1120U            Foun.of Ditgl Teach & Lrn Tech                    
AEDT 2160U            Online Lrning: Theory&Resrch                      
AEDT 3140U            Creating Digital Tools                            
BIOL 1841U            Biology for Non-Specialists                       
BIOL 3080U            Biochemistry II                                   
BUSI 1520U            Business Computer Applications                    
BUSI 3350U            Developing Management Skills                      
BUSI 3440U            Financial Modeling                                
BUSI 3601U            Operatns Anlysis using Sprshts                    
BUSI 3670U            Risk Mgmt Frameworks & Process                    
BUSI 4390U            Spec. Topics-Org Beh & HR Mngt                    
BUSI 4650U            Global Op & Supply Chain Mgmt                     
BUSI 4990U            Pre-Capstone Workshop                             
CHEM 3220U            MoleculrStrucDetrm ofSpecData                     
CHEM 3510U            Inorganic Chemistry Trans Mtls                    
COMM 1420U            Digtl Liter for Comm in21st c.                    
COMM 2530U            Advertising and Society                           
COMM 3410U            Persp.on Multimedia Authoring                     
CSCI 2000U            Intr to Mathematical Computing                    
CSCI 4120U            Digital Evidence                                  
CSCI 5310G            Cryptography & Secure Comm.                       
CSCI 5510G            Computer Graphics                                 
CSCI 5730G            Topics in Information Science                     
EDUC 4703U            Teach & Learn: Prob Base Learn                    
EDUC 5203G            Dynamics of Change                                
ENGR 3750U            Integrated Eng. Laboratory                        
ENGR 4070U            Chassis Systems Design                            
ENGR 4290U            Finite Element Method                             
ENGR 4870U            Spec Tps in Softwre Engring                       
ENGR 5415G            Foundations of Engring Mgmt                       
ENGR 5631G            Advanced Estimation Theory                        
ENGR 6003G            PhD Seminar                                       
ENGL 1001T            Truth, Lies and Storytelling                      
HLSC 4412G            Exerc Rehab I Card Resp & Meta                    
HLSC 4473U            Prac.Human Anatmy I Back Upper                    
HLSC 5322G            Theory & App of Biomed Signals                    
HIST 1201T            Western Civilization to 1789                      
INFR 4360U            Sketch to Scrn Dev.Conc Art                       
INFR 4599U            Spec Top in IT-Cloud Computing                    
LGLS 3220U            Philosophy of Law                                 
LGLS 4030U            Law and the Body                                  
MITS 5600G            Security Policies & Risk Mgmt                     
MATH 2015U            Calculus III                                      
MLSC 3221U            Trans Immunology & Hemostasis                     
NUCL 4360U            Nuc Plant Elec & Aux Sys                          
NUCL 4540U            Nuclear Steam Supply Systems                      
NUCL 4550U            Thesis Project I                                  
NUCL 4620U            Radioactive Waste Management                      
NUCL 5005G            ST:Liquid Metal & Molten Salts                    
NURS 4100U            Nursing Leader. & Innovation                      
NURS 4701U            Prof. Nursing Integrtd Prac.                      
PHIL 1100T            Intro Phil: Moral & Political                     
PHIL 1200T            Critical Thinking                                 
PHIL 2020T            Phil. of Sport & Recreation                       
PHIL 2390T            Biomedical Ethics                                 
POSC 4000U            Internatnl Politics & Policy                      
SSCI 3035U            Represent. of Crime & Justice                     
SSCI 4000G            Advanced Justice Studies                          
AEDT 1110U            Foundations of Adult Learning                     
AEDT 1170U            Psycholgcal Found.& Digtl Tech                    
AEDT 2120U            Culture & Digital Technologies                    
AEDT 2150U            Digtl Tech.& Adv Teach Methods                    
AEDT 4120U            Serious Gaming & Simulations                      
BUSI 4270U            Business to Business Marketing                    
CHEM 3520U            Inorganic Chem: Organometallic                    
COMM 2120U            Communication Research                            
COMM 3310U            Writing for Communities                           
COMM 3520U            Mark Comm & Public Relation                       
COMM 4260U            Language, Culture & Society                       
COMM 4420U            The Soc.&Pol Impct of New Mda                     
CSCI 1060U            Programming Workshops                             
CSCI 2040U            Software Design and Analysis                      
CSCI 3055U            Programming Languages                             
CSCI 3060U            Software Quality Assurance                        
CSCI 4130U            Forensic Informatics                              
CSCI 4610G            Artificial Intelligence                           
CSCI 5300G            Computer Communication Netwrks                    
CSCI 5550G            Topics in Digital Media                           
CSCI 5700G            Introduction to Services Comp.                    
EDUC 5105G            Tech. Diffusion in Education                      
ENGR 5005G            Spl Tpc:Adv Rf/Micwve/MM Wave                     
ENGR 5005G            Sp Tps.Acoustics & Noise Cntrl                    
ENGR 5015G            Adv.Cmptr Aided Geometrc Desgn                    
ENGR 5425G            Production & Oprt Mgmt                            
ENGR 5632G            Advanced Detection Theory                         
ENGL 1005T            Love and Hate                                     
FSCI 1010U            Introductory Forensic Science                     
HLSC 3472U            Sports Injury Mgmt                                
HLSC 3711U            Professional Ethics for Kine.                     
HLSC 4474U            Prac.Human AnatmyII Head Neck                     
HIST 1202T            Western Civil. from 1789                          
INFR 4310U            Social Network Games                              
INFR 4350U            Human-Computer Inter for Games                    
LGLS 3320U            Race, Ethnicity and the Law                       
LGLS 3430U            International Human Rights                        
LGLS 4010U            Communication Law and Policy                      
MATH 2055U            Adv. Linear Algeb & Applic.                       
MCSC 6210G            Adv. Top. in Math. Modelling                      
NUCL 4520U            Nuclear Plant Safety                              
NUCL 4545U            Nuclear Plant Steam Util Sys                      
NUCL 4560U            Thesis Project II                                 
PHIL 1000T            Intr Phil: Knowledge & Reality                    
PHIL 2270T            Philosophy of Mind                                
PHIL 2410T            Symbolic Logic                                    
PHIL 2780T            Philosophy Of Science                             
PHY 3060U             Fluid  Mechanics                                  
PSYC 2050U            Brain and Behaviour                               
PSYC 2060U            Cognitive Psychology                              
PSYC 3055U            Treatment in Forensic Settings                    
SSCI 2920U            Qualitative Research Methods                      
SSCI 3045U            Terrorism                                         
SSCI 3056U            Race&Ethnty in the Crm Jst Sys                    
SSCI 4025U            Children's Rights                                 
SSCI 4085U            Emerging Patterns of Policing                     
AEDT 1160U            Digital Commun. Technologies                      
AEDT 2130U            Graphic Desgn, Digtl Tech.                        
AEDT 3110U            Information Literacy                              
AEDT 3120U            Workplace Learning                                
AUTE 3010U            Intro. to Auto. Engineering                       
AUTE 4010U            Vehicle Dynamics & Control                        
AUTE 4060U            Automotive Structural Design                      
AUTE 4070U            Chassis Systems Design                            
BIOL 1011U            Intro Cell & Molecular Biology                    
BIOL 4630U            Plant Physiology                                  
BUSI 3370U            Employment and Labour Laws                        
BUSI 3710U            Small Business Mgmt                               
BUSI 5650G            Supply Chain & Vendor Mgmt.                       
COMM 1420U            Digital Humanities                                
COMM 2270U            Global Media Industries                           
COMM 3310U            Commun, Comunties & Social Chg                    
COMM 3410U            New Media Theory & Practice                       
COMM 4120U            Contemporary Issues in Commun.                    
COMM 4140U            Visual Rhetoric                                   
COMM 4710U            International Communication                       
CDPS 2000U            Mobilizing for Change                             
CDPS 2100U            Global Communities                                
CDPS 2200U            Theories of Policy Analysis                       
CDPS 3203U            Urban Development                                 
CDPS 3300U            Building Sustainable Commun.                      
CSCI 2000U            Practical Computing for Scient                    
EDUC 4900U            I/S Fld Experience&Practica I                     
EDUC 4910U            P/J Fld Exper & Practica I                        
EDUC 5199G            Spec. Top. in Ed. & Dig. Tech.                    
ELEE 2110U            Discrete Mathematics for Eng.                     
ELEE 2200U            Electrical Eng. Fundamentals                      
ELEE 3110U            Signals & Systems                                 
ELEE 3140U            Computer Architecture                             
ELEE 3180U            Design Principles & Proj Mgmt                     
ELEE 3230U            Electronic Circuit Design                         
ELEE 3240U            Applic. for Electromagnetics                      
ELEE 4120U            Intro to Power Electronics                        
ELEE 4310U            Electronics                                       
ELEE 4350U            Microprocessors                                   
ELEE 4420U            DSP Theory & Design                               
ELEE 4750U            Microwave & RF Circuits                           
ENGR 1015U            Intro. to Engineering                             
ENGR 4940U            Capstone Sys Design I                             
ENGR 4950U            Capstone Sys Design I                             
ENGR 5420G            Quality Management                                
ENGR 5775G            Knowledge Disc. & Data Mining                     
ENGR 6003G            PhD Seminar I                                     
ENGR 6013G            PhD Seminar II                                    
FSCI 2020U            Essentials of Crime Scene Scie                    
FSCI 3110U            Population Genetics                               
GEOG 1040T            Earth's Physical Proc. & Envir                    
HLSC 1702U            Acad.Writing & Present. Skills                    
HLSC 1810U            Hlth Promtn & Hlthy Active Liv                    
HLSC 2465U            Anatomy & PhysiologyIII                           
HLSC 3820U            Public Health I                                   
HLSC 4473U            Prac.Human Anatmy I Back Lower                    
HLSC 5118G            Applied BioStat. in Hlth Sci.                     
INFR 1020U            Essential Math for Game 1                         
INFR 1330U            Basic Intro. to Game Design                       
INFR 2340U            Intro.to Modelling & Animation                    
INFR 4410U            CCIE Routing & Switching                          
INFR 4599U            SpecTop Mobile Web Programming                    
LGLS 3530U            Intellectual Property                             
LGLS 4050U            Impartiality, Neutrality & Obj                    
MANE 2220U            Structure & Prop. of Materials                    
MANE 3190U            Manufacturing & Prod. Processe                    
MANE 4280U            Robotics & Automation                             
MANE 4380U            Life Cycle Engineering                            
MANE 4390U            Modelling Manufacturing Syst.                     
MTSC 6330G            Electrochem.Methods & Material                    
MECE 2230U            Statics                                           
MECE 2310U            Concurrent Engr. & Design                         
MECE 2320U            Thermodynamics                                    
MECE 2640U            Thermodyanics & Heat Transfer                     
MECE 3030U            Computer-Aided Design                             
MECE 3260U            Introduction to Energy Systems                    
MECE 3270U            Kinemat.& Dynamic. of Machines                    
MECE 3350U            Control Systems                                   
MECE 4210U            Adv.Solid Mech.& Stress Analys                    
MECE 4410U            Fossil Fuel Energy Conversion                     
MECE 4430U            Sustain.& Alter. Energy Techn.                    
NUCL 2220U            Radi Effects of Material Prop                     
NUCL 5100G            Nuclear Plant Sys. & Operation                    
NUCL 5400G            Advanced Radiation Science                        
PHIL 2110T            Moral Issues                                      
PHY 2060U             Modern Physics                                    
PHY 3080U             Electricity & Magnetism II                        
PSYC 3400U            Investigative Psychology                          
PSYC 3500U            Stereotypes and Prejudice                         
SSCI 4026U            Adv Top in Race, Ethnic & Just                    
SSCI 4097U            Community Connections                             
SSCI 4098U            Practicum                                         
SOFE 2710U            Object Oriented Prog. & Design                    
SOFE 3650U            Software Design & Architecture                    
SOFE 3700U            Data Management Systems                           
SOFE 3770U            Design & Analys. of Algorithms                    
SOFE 3950U            Operating Systems                                 
SOFE 4650U            Computer Networks                                 
SOFE 4790U            Distributed Systems                               
SOFE 4800U            Advanced Operating Systems                        
SOFE 4850U            User Interfaces                                   
AEDT 3130U            Financial Mgmt of Online Learn                    
AEDT 4110U            Assessment for Adult Learning                     
AEDT 4130U            Soc. Jstce Issues In Adlt Educ                    
AEDT 4140U            Instructional Design                              
APBS 6500G            Adv Tps In Medicinal Chem.                        
AUTE 3290U            Powertrain Design                                 
AUTE 3450U            Combustion & Engines                              
BIOL 1021U            Intro.to Orgnismal Biol & Ecol                    
BUSI 2210U            Mrkt in the Infr Tech Sector                      
BUSI 4260U            Mrkt Mgmt in Asia Pacific                         
BUSI 4400U            Electronic Trading & Exchange                     
COMM 2411U            Information & Society                             
COMM 3250U            Commun. & Popular Culture                         
COMM 3510U            Work in the Information Age                       
COMM 3610U            Persuasion                                        
COMM 4610U            Commun. & Conflict Resolut.                       
CDPS 1000U            What is Community?                                
CDPS 2502U            Community Develop. Policy                         
CDPS 3100U            Political Econ. of Global Dev.                    
CDPS 3102U            Culture & Community                               
CSCI 6520G            Adv. Topics in Digital Media                      
EDUC 3440U            Diversity:Teach.in the Mosaic                     
EDUC 3441U            L'apprentissage en francais                       
EDUC 3482U            Outdoor Ed:  Winter Adventure                     
EDUC 3560U            Religious Education                               
EDUC 4700U            Models of Teaching                                
EDUC 4901U            I/S Fld Exper & Practica II                       
EDUC 4911U            P/J Fld Exper & Practica II                       
EDUC 5399G            Special Topics in Curriculum                      
ELEE 2210U            Circuit Analysis                                  
ELEE 2250U            Introductory Electronics                          
ELEE 2450U            Digital Systems                                   
ELEE 2520U            Fundamentals of Electromagnets                    
ELEE 2530U            Complex Analysis for Engineers                    
ELEE 2790U            Electric Circuits                                 
ELEE 3070U            Probability & Random Signals                      
ELEE 3100U            Modern Control Systems                            
ELEE 3130U            Communication Systems                             
ELEE 3250U            Electric Machines                                 
ELEE 3330U            Circuit Design                                    
ELEE 3490U            Microprocessor Systems Design                     
ELEE 4110U            Power Systems                                     
ELEE 4150U            Advanced Control Systems                          
ELEE 4500U            Wireless Communication                            
ENGR 1025U            Engineering Design                                
ENGR 4941U            Capstone Sys. Design II                           
ENGR 4951U            Capstone Sys. Design II                           
ENGR 5005G            Spl Tpc:Sensor Network Systems                    
ENGR 5005G            Spl Tpc Oper & Cont Of AC Driv                    
ENGR 5005G            Sp Tp: Elect Pwr Distrib Sys                      
ENGR 5014G            Pollution Prev & Sus Eng                          
ENGR 5310G            Automotive Vehicle Dynamics                       
ENGL 1003T            Revolution                                        
FSCI 3120U            Forensic Biology                                  
FSCI 3210U            Forensic Psychology                               
HLSC 1811U            Social Determinants of Health                     
HLSC 2030U            Interpersnl & Inter-Prof Comm                     
HLSC 2810U            Child & Adolescent Health                         
HLSC 3203U            Hlth Infrmtcs in Cdn Hlth Care                    
HLSC 4401G            Motor Behav & Develop Disabil                     
HLSC 4821U            Exploring The Mind Body Connec                    
HLSC 4910U            Commun.Based Research for Hlth                    
INFR 1030U            Essential Math for Game 2                         
INFR 1335U            Digital Game Design                               
INFR 2370U            Game Sound                                        
INFR 4400U            Gamification                                      
LGLS 2110U            Private Law                                       
LGLS 4060U            Security & the Nation-State                       
MANE 3300U            Integrated Manufact. Systems                      
MANE 3460U            Industrial Ergonomics                             
MANE 4015U            Reliability & Maintenance                         
MANE 4045U            Quality Control                                   
MECE 2420U            Solid Mechanics                                   
MECE 2430U            Dynamics                                          
MECE 2860U            Fluid Mechanics                                   
MECE 3210U            Mechanical Vibrations                             
MECE 3220U            Machine Design                                    
MECE 3320U            Fluid Power Systems                               
MECE 3390U            Mechatronics                                      
MECE 3410U            Electromech. Energy Conversion                    
MECE 3930U            Heat Transfer                                     
MECE 4240U            Applied Thermal & Fluids Eng.                     
MECE 4250U            Advanced Materials Engineering                    
MECE 4320U            Advanced Mechatronics                             
MECE 4450U            Thermal Environment Eng.                          
MLSC 3141U            Molecular Techq & Cmpltry Tech                    
MLSC 3210U            Effec Lead & Qual Mgmt                            
MLSC 3231U            Advanced Histotechnology                          
NUCL 5050G            Applied Risk Analysis                             
PHY 2900U             Astronomy I                                       
PHY 3060U             Fluid Dynamics                                    
PHY 4030U             Topics in Contemp. Physics                        
PSYC 3050U            Clinical Forensic Psychology                      
PSYC 3060U            Personality Psychology                            
PSYC 3210U            Forensic Psychology                               
PSYC 3820U            Psychology of Deviance                            
SOFE 2490U            Software Project Management                       
SOFE 2715U            Data Structures                                   
SOFE 2720U            Software Req. Spec & Analysis                     
SOFE 3720U            Intro.to Artificial Intelligen                    
SOFE 3960U            Prog. Languages & Compilers                       
SOFE 3980U            Software Quality                                  
SOFE 4830U            Real Time Systems & Control                       
SOFE 4840U            Software & Computer Security                      
